,index,om,yr,tz,stf,stn,mag,inj,fat,loss,closs,slat,slon,len,wid,fc,p_elat,p_elon,Time,sDate,sTime,Predicted_Time
2892,4883,91,1960.0,3,20,5,3,0,0,4,0,38.48,-95.28,9.2,77,0,44.18495726486539,-93.31056194651168,1.0,4/16/1960,17:15:00,1900-01-01 18:15:00
2900,4891,99,1960.0,3,18,4,1,0,0,3,0,40.98,-86.67,0.1,10,1,0.0794561535259121,-0.1992986292413491,18.0,4/16/1960,23:40:00,1900-01-02 17:40:00
2912,4997,205,1960.0,3,17,15,1,0,0,5,0,39.3,-90.38,43.5,50,0,35.3416815226513,-73.74910504063192,2.0,5/6/1960,14:00:00,1900-01-01 16:00:00
2926,20210,418,1960.0,3,17,35,2,1,0,5,0,39.95,-90.22,34.9,100,0,34.67016131883477,-90.22297576400088,2.0,6/23/1960,6:00:00,1900-01-01 08:00:00
2934,19836,44,1960.0,3,28,3,1,0,0,3,0,32.33,-90.35,0.1,10,0,0.23612257575757578,-0.4374898636363636,55.0,3/29/1960,5:30:00,1900-01-03 12:30:00
2936,20322,530,1960.0,3,20,50,0,0,0,1,0,37.6,-99.12,0.1,10,0,0.913382286189217,-2.1473681342144073,89.0,8/21/1960,15:00:00,1900-01-05 08:00:00
2943,5317,525,1960.0,3,46,8,1,0,0,1,0,43.83,-97.75,0.1,10,0,6.407215595238093,-15.597509523809526,17.0,8/19/1960,11:00:00,1900-01-02 04:00:00
2949,19842,50,1960.0,3,29,4,1,0,0,3,0,36.63,-89.92,2.5,17,0,38.156887605198314,-85.91537633123444,2.0,3/29/1960,21:35:00,1900-01-01 23:35:00
2977,20182,390,1960.0,3,19,10,2,0,0,4,0,42.5,-94.2,1,200,0,0.3298642874351945,-0.8390942400224003,40.0,6/16/1960,13:00:00,1900-01-03 05:00:00
2993,19927,135,1960.0,3,18,5,1,1,0,1,0,41.6,-87.05,0.1,10,0,4.534731366740494,-10.37012900516796,47.0,5/3/1960,14:00:00,1900-01-03 13:00:00
3017,20279,487,1960.0,3,20,47,1,0,0,1,0,37.82,-97.03,0.1,10,0,36.47179002691347,-95.90067298179021,0.0,7/24/1960,13:00:00,1900-01-01 13:00:00
3056,20212,420,1960.0,3,27,3,2,0,0,3,0,43.65,-94.73,2,10,0,35.60975491869244,-97.51735192571311,3.0,6/24/1960,5:00:00,1900-01-01 08:00:00
3060,5281,489,1960.0,3,5,26,1,0,0,5,0,34.12,-91.37,2.7,1500,0,0.4542880880889597,-0.9298313846460023,19.0,7/24/1960,15:00:00,1900-01-02 10:00:00
3063,20222,430,1960.0,3,33,1,1,0,0,3,0,43.4,-71.4,0.5,50,0,31.90480566171575,-93.22888098702768,12.0,6/25/1960,19:00:00,1900-01-02 07:00:00
3079,4884,92,1960.0,3,20,6,2,1,0,3,0,37.6,-97.13,9.3,10,0,35.16811760167464,-89.6340781366294,1.0,4/16/1960,18:30:00,1900-01-01 19:30:00
3115,5314,522,1960.0,3,31,41,2,0,0,4,0,41.4,-102.35,0.1,10,0,0.24814166666666668,-0.6039749999999999,21.0,8/17/1960,19:35:00,1900-01-02 16:35:00
3139,20335,543,1960.0,3,38,14,0,0,0,0,0,46.4,-97.7,0.1,10,1,0.002638980649958827,-0.006123544526992657,89.0,8/28/1960,15:00:00,1900-01-05 08:00:00
3172,5170,378,1960.0,3,31,16,1,0,0,4,0,40.23,-95.68,1,10,0,44.79744582769543,-99.14446621334191,1.0,6/15/1960,10:35:00,1900-01-01 11:35:00
3181,20218,426,1960.0,3,42,2,2,0,0,5,0,40.2,-75.25,0.8,27,0,0.07964180432391547,-0.18426061886893957,34.0,6/24/1960,17:30:00,1900-01-03 03:30:00
3182,20275,483,1960.0,3,48,58,1,0,0,3,0,29.25,-98.65,1,13,0,36.31741853135831,-85.20103955367405,8.0,7/21/1960,14:55:00,1900-01-01 22:55:00
3206,5014,222,1960.0,3,29,12,1,0,0,3,0,40.17,-93.92,0.2,10,0,0.18714116545975798,-0.503161221928438,20.0,5/16/1960,2:30:00,1900-01-01 22:30:00
3257,20295,503,1960.0,3,40,94,2,0,0,4,0,36.35,-97.9,0.1,10,0,0.8730624621689784,-2.2775571143337534,41.0,8/2/1960,16:00:00,1900-01-03 09:00:00
3292,5162,370,1960.0,3,35,2,0,0,0,0,0,33,-107.1,0.1,10,0,39.95846596553769,-112.76839898883665,1.0,6/11/1960,16:15:00,1900-01-01 17:15:00
3314,4818,26,1960.0,3,12,2,2,0,0,5,0,30.17,-85.85,7.6,400,0,35.977849140151335,-87.10462523697691,1.0,2/18/1960,12:30:00,1900-01-01 13:30:00
3318,5172,380,1960.0,3,30,1,1,0,0,3,0,45.7,-111.07,1.3,17,0,0.10567179403372996,-0.3887768614163382,22.0,6/15/1960,17:50:00,1900-01-02 15:50:00
3347,19815,23,1960.0,3,48,5,2,3,0,4,0,29.77,-95.8,4.9,100,0,0.3672289489378942,-0.927848865900922,41.0,2/17/1960,20:30:00,1900-01-03 13:30:00
3353,20060,268,1960.0,3,40,73,1,0,0,4,0,36.42,-95.55,4.5,50,0,39.42715794422681,-79.91298026815689,7.0,5/19/1960,19:20:00,1900-01-02 02:20:00
3359,19962,170,1960.0,3,31,2,1,0,0,3,0,41.7,-97.23,0.1,10,1,0.10334438266000909,-0.2081186450295052,58.0,5/5/1960,17:00:00,1900-01-04 03:00:00
3361,20065,273,1960.0,3,40,76,1,0,0,0,0,36.3,-95.43,0.1,10,0,42.26421617719342,-110.87554284749984,8.0,5/19/1960,20:30:00,1900-01-02 04:30:00
3405,20308,516,1960.0,3,48,60,1,0,0,3,0,27.8,-97.43,0.1,17,0,0.5675716046939416,-1.3092040638930924,58.0,8/8/1960,16:00:00,1900-01-04 02:00:00
3408,5288,496,1960.0,3,38,8,0,0,0,0,0,46.8,-99.9,0.1,10,1,4.861372136319924,-11.91406013834357,18.0,7/27/1960,19:30:00,1900-01-02 13:30:00
3415,20186,394,1960.0,3,17,31,1,0,0,3,0,41.25,-87.73,0.1,10,0,27.58991303951456,-78.1015056672655,9.0,6/16/1960,16:58:00,1900-01-02 01:58:00
3424,19869,77,1960.0,3,5,6,3,3,0,5,0,35.47,-94.28,13.6,833,0,33.5745281987457,-88.77936654845152,1.0,4/15/1960,15:00:00,1900-01-01 16:00:00
3432,19988,196,1960.0,3,29,11,2,0,0,5,0,36.93,-92.77,5.7,50,0,0.06979338945643747,-0.17343308935677676,40.0,5/6/1960,1:30:00,1900-01-02 17:30:00
3442,5185,393,1960.0,3,17,30,0,0,0,3,0,38.87,-90.08,0.1,10,0,0.10781207248083209,-0.2412730967713305,19.0,6/16/1960,15:03:00,1900-01-02 10:03:00
3460,20282,491,1960.0,3,38,7,1,0,0,3,0,46,-99.9,0.1,10,1,1.8956351619472434,-5.143395251384557,56.0,7/24/1960,16:00:00,1900-01-04 00:00:00
3486,20066,274,1960.0,3,20,26,1,0,0,2,0,37.53,-95.52,2,10,0,32.66598136616433,-81.58200848748137,7.0,5/19/1960,20:45:00,1900-01-02 03:45:00
3488,20385,593,1960.0,3,55,10,2,0,0,4,0,44.63,-90.38,36,100,0,0.8911050304160125,-3.0097202776687597,38.0,11/15/1960,15:30:00,1900-01-03 05:30:00
3508,5268,476,1960.0,3,38,6,0,0,0,0,0,48.8,-101.5,0.1,10,0,32.55309703393473,-91.22807287310492,3.0,7/13/1960,15:00:00,1900-01-01 18:00:00
3548,20406,614,1960.0,3,12,31,2,0,0,3,0,30.62,-87.3,5.6,50,0,41.02939508820011,-97.43589197167623,5.0,12/4/1960,20:30:00,1900-01-02 01:30:00
3583,5270,478,1960.0,3,25,1,0,0,0,1,0,42.7,-71.2,0.1,10,0,29.345803990176492,-78.2559690410978,3.0,7/14/1960,14:45:00,1900-01-01 17:45:00
3599,5115,323,1960.0,3,26,2,1,0,0,3,0,43,-84.98,2,50,0,30.105508717005748,-95.60992344387512,3.0,5/28/1960,16:00:00,1900-01-01 19:00:00
3644,4871,79,1960.0,3,20,3,0,0,0,1,0,39.05,-95,0.1,10,1,38.98053526591209,-91.08512354806899,0.0,4/16/1960,12:05:00,1900-01-01 12:05:00
3695,5227,435,1960.0,3,46,4,1,0,0,3,0,43.73,-99.95,0.1,10,0,0.05357584829659387,-0.13082801086203186,21.0,6/26/1960,21:00:00,1900-01-02 18:00:00
3699,20160,368,1960.0,3,48,50,0,0,0,0,0,35.2,-102.07,0.1,10,0,0.37904021599334237,-0.9444894783628385,93.0,6/11/1960,15:00:00,1900-01-05 12:00:00
3713,20351,559,1960.0,3,12,22,1,0,0,3,0,30.3,-85.85,0.1,10,0,0.31198292888106777,-0.8395698147306037,52.0,9/15/1960,6:55:00,1900-01-03 10:55:00
3762,4877,85,1960.0,3,39,1,0,0,0,3,0,41.1,-83.7,0.8,77,0,0.48536886613308217,-1.0855850768989326,18.0,4/16/1960,16:30:00,1900-01-02 10:30:00
3767,19827,35,1960.0,3,12,5,2,2,0,4,0,30.47,-81.58,0.1,100,0,0.0074753806882370665,-0.019660919283823523,36.0,2/25/1960,6:00:00,1900-01-02 18:00:00
3774,5093,301,1960.0,3,40,82,2,1,0,4,0,35.1,-98.57,0.1,10,0,39.053602645247544,-89.68067133775534,1.0,5/23/1960,18:30:00,1900-01-01 19:30:00
3796,20397,605,1960.0,3,20,53,1,0,0,2,0,37.87,-99.78,0.1,10,1,0.08510237129870857,-0.2358206398181629,59.0,11/27/1960,18:30:00,1900-01-04 05:30:00
3843,19846,54,1960.0,3,47,1,2,1,0,4,0,35.45,-86.78,8.2,10,0,35.04689221630064,-77.0684718063092,3.0,3/30/1960,4:40:00,1900-01-01 07:40:00
3864,20284,492,1960.0,3,40,93,1,0,0,4,0,36.02,-95.37,0.1,10,1,38.62879968407573,-90.09104906620023,3.0,7/25/1960,18:30:00,1900-01-01 21:30:00
3892,20075,281,1960.0,3,29,19,1,0,0,3,0,39.78,-93.08,1.5,40,0,37.01473519464341,-78.25424010623696,7.0,5/20/1960,3:45:00,1900-01-01 10:45:00
3895,20016,224,1960.0,3,31,3,1,0,0,4,0,40.15,-95.95,0.1,10,0,0.23070335943940642,-0.5672484645507008,57.0,5/16/1960,10:00:00,1900-01-03 19:00:00
3898,19855,63,1960.0,3,20,1,1,0,0,4,0,38.08,-97.33,0.1,10,1,33.05943072469249,-100.3817505402647,3.0,3/31/1960,19:20:00,1900-01-01 22:20:00
3930,19913,121,1960.0,3,40,19,2,0,0,2,0,35.18,-97.85,3.3,200,0,34.439421154354484,-99.2856916052581,0.0,4/28/1960,19:45:00,1900-01-01 19:45:00
3949,4900,108,1960.0,3,55,1,1,0,0,3,0,45.67,-90.75,1.9,10,1,38.19067989524346,-86.7408868888552,1.0,4/25/1960,14:00:00,1900-01-01 15:00:00
3958,20068,276,1960.0,3,20,28,2,0,0,3,0,39.12,-95.67,4.1,10,0,1.0349774425194471,-2.3300665851180766,40.0,5/19/1960,21:00:00,1900-01-03 13:00:00
3971,5076,284,1960.0,3,40,80,1,0,0,3,0,33.9,-95.3,0.1,10,1,8.857944677542998,-24.453980615565,15.0,5/20/1960,4:45:00,1900-01-01 19:45:00
4002,4918,126,1960.0,3,40,24,2,0,0,5,0,35.33,-97.62,7.8,500,0,0.2608478979333715,-0.6392143417361625,20.0,4/28/1960,21:05:00,1900-01-02 17:05:00
4071,19909,117,1960.0,3,40,16,0,0,0,0,0,35.8,-98.35,0.1,10,0,35.36021486725603,-100.83397095231724,1.0,4/28/1960,19:30:00,1900-01-01 20:30:00
4108,20274,482,1960.0,3,48,59,1,0,0,3,0,30.23,-97.67,0.2,17,0,0.0009693826600090784,-0.00229364502950522,59.0,7/20/1960,12:20:00,1900-01-03 23:20:00
4166,19997,205,1960.0,3,17,15,1,0,0,5,0,39.3,-90.38,43.5,50,0,3.309594427134047,-7.757522147435896,50.0,5/6/1960,14:00:00,1900-01-03 16:00:00
4183,4981,189,1960.0,3,5,10,2,1,0,5,0,35.82,-94.2,16.9,10,0,30.736540795640117,-89.14461806529376,1.0,5/5/1960,22:00:00,1900-01-01 23:00:00
4191,4829,37,1960.0,3,12,6,0,0,0,4,0,30.25,-81.75,0.1,33,0,1.868859837207849,-4.231608946069241,16.0,3/8/1960,17:15:00,1900-01-02 09:15:00
4198,20327,535,1960.0,3,28,7,1,0,0,4,0,32.3,-90.2,0.5,27,0,43.364011511716114,-100.6200115070006,8.0,8/23/1960,19:00:00,1900-01-02 03:00:00
4204,19925,133,1960.0,3,22,7,1,0,0,5,0,29.8,-92.13,33.2,450,0,35.43665111978095,-95.82976237011788,3.0,4/30/1960,13:00:00,1900-01-01 16:00:00
4210,20318,526,1960.0,3,19,18,1,0,0,4,0,41.3,-94.47,0.1,100,0,0.9174674307220873,-2.0482230043039964,56.0,8/19/1960,13:07:00,1900-01-03 21:07:00
4224,19858,66,1960.0,3,12,13,2,0,0,5,0,30.18,-85.72,0.1,10,0,0.5756488976776392,-1.2508881572032242,37.0,4/10/1960,15:00:00,1900-01-03 04:00:00
4278,5367,575,1960.0,3,12,29,0,0,0,2,0,30.32,-81.77,0.1,10,0,1.060513606615391,-2.108748915618788,17.0,10/8/1960,14:27:00,1900-01-02 07:27:00
